Task name,Property,Assignee,Completed on,Delay,Due,Parent-task,Priority,Project,Sub-tasks,Tags
Write research report,Not Started,Ben Lang,,,"May 22, 2024",,High,,,Research
Create product demo video,Done,Nate Martins,"May 1, 2024",2,"April 29, 2024",,High,,,
Define target audience,Done,Sohrab Amin,"May 1, 2024",14,"April 17, 2024",,Low,,Untitled (https://www.notion.so/5d11d9fd7de5484e857817663cc5fd19?pvs=21),"Improvement, Marketing"
CONNECT WITH SERVERLESS (NEON),Done,Win Pear,,,"March 4, 2026 → May 30, 2026",,Medium,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"App, Database"
CREATE DATABASE,Done,Huỳnh Gia Thịnh,,,"March 4, 2026 → March 9, 2026",,High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"App, Database"
Monitor launch performance,In Progress,Ben Lang,"May 21, 2024",12,"May 9, 2024",,High,,,Metrics
Interpret findings,In Progress,Nate Martins,,,"May 19, 2024",,Medium,,,Research
Create performance marketing plan,Not Started,Nate Martins,,,"May 2, 2023",Develop advertising plan (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Develop%20advertising%20plan%2031906601112381f6a5d9e38905be2bb8.md),Medium,,,"Improvement, Marketing"
Create product positioning,Done,Sohrab Amin,"May 3, 2024",2,"May 1, 2024",,High,,,Branding
Conduct interviews,In Progress,Sohrab Amin,,,"May 12, 2024",,High,,,Research
