Task name,Assignee,Due
CONNECT WITH SERVERLESS (NEON),Win Pear,"March 4, 2026 → May 30, 2026"
CREATE DATABASE,Huỳnh Gia Thịnh,"March 4, 2026 → March 9, 2026"
API: Login (JWT Authentication),Trương Tiến,"March 4, 2026 → March 30, 2026"
API: Book CRUD,Huỳnh Gia Thịnh,"March 31, 2026 → April 10, 2026"
API: Book Sale Invoice,Trương Tiến,"March 31, 2026 → April 10, 2026"
API: Author CRUD,Huỳnh Gia Thịnh,"March 23, 2026 → May 30, 2026"
API: Book Category CRUD,Huỳnh Gia Thịnh,"March 23, 2026 → May 30, 2026"
API: Employees Management,Trương Tiến,"March 31, 2026 → April 10, 2026"
API: Users CRUD,Trương Tiến,"March 23, 2026 → May 30, 2026"
API: Book Sale Payment,Trương Tiến,"March 31, 2026 → April 10, 2026"
API: Voucher Terms & Conditions,Trương Tiến,"March 31, 2026 → April 10, 2026"
API: Shifts Management and Staff Scheduling,Trương Tiến,"March 23, 2026 → May 30, 2026"
API: Customer Management,Huỳnh Gia Thịnh,"March 31, 2026 → April 10, 2026"
API: Customer CRUD,Huỳnh Gia Thịnh,"March 31, 2026 → April 10, 2026"
API: Debt Management,Huỳnh Gia Thịnh,"March 31, 2026 → April 10, 2026"
API: Report Design,Huỳnh Gia Thịnh,"March 31, 2026 → April 10, 2026"
Monthly Report,Huỳnh Gia Thịnh,"March 9, 2026 → May 30, 2026"
Inventory Report,Huỳnh Gia Thịnh,"March 9, 2026 → May 30, 2026"
Import Report,Huỳnh Gia Thịnh,"March 9, 2026 → May 30, 2026"
API: Reuglation,Huỳnh Gia Thịnh,"May 15, 2026 → June 5, 2026"
API: Shift Management,Trương Tiến,"May 15, 2026 → June 5, 2026"
API: Payroll Management,Trương Tiến,"May 15, 2026 → June 5, 2026"
API: Absent Employee Management,Trương Tiến,"May 15, 2026 → June 5, 2026"
