Task name,Property,Assignee,Due,Priority,Tags
Develop survey questions,Done,Sohrab Amin,"April 21, 2024",Medium,Research
Interpret findings,In Progress,Nate Martins,"May 19, 2024",Medium,Research
Write research report,Not Started,Ben Lang,"May 22, 2024",High,Research
Conduct interviews,In Progress,Sohrab Amin,"May 12, 2024",High,Research
Develop advertising plan,Done,Nate Martins,"April 13, 2024",Medium,"Improvement, Marketing"
Define target audience,Done,Sohrab Amin,"April 17, 2024",Low,"Improvement, Marketing"
Create social media plan,Not Started,Nate Martins,"May 2, 2023",Medium,"Improvement, Marketing"
Create performance marketing plan,Not Started,Nate Martins,"May 2, 2023",Medium,"Improvement, Marketing"
Develop new creative assets,Done,Sohrab Amin,"April 15, 2024",High,"Branding, Improvement, Marketing"
Report on marketing ROI,In Progress,Ben Lang,"May 5, 2024",Medium,"Improvement, Marketing"
CREATE DATABASE,Done,Huỳnh Gia Thịnh,"March 4, 2026 → March 9, 2026",High,"App, Database"
CONNECT WITH SERVERLESS (NEON),Done,Win Pear,"March 4, 2026 → May 30, 2026",Medium,"App, Database"
API: Login (JWT Authentication),Done,Trương Tiến,"March 4, 2026 → March 30, 2026",High,"API, App"
API: Book CRUD,Done,Huỳnh Gia Thịnh,"March 31, 2026 → April 10, 2026",High,"API, App"
API: Author CRUD,Done,Huỳnh Gia Thịnh,"March 23, 2026 → May 30, 2026",High,"API, App"
API: Book Category CRUD,Done,Huỳnh Gia Thịnh,"March 23, 2026 → May 30, 2026",High,"API, App"
API: Book Sale Invoice,Done,Trương Tiến,"March 31, 2026 → April 10, 2026",High,"API, App"
API: Book Sale Payment,Done,Trương Tiến,"March 31, 2026 → April 10, 2026",High,"API, App"
API: Voucher Terms & Conditions,Done,Trương Tiến,"March 31, 2026 → April 10, 2026",High,"API, App"
API: Employees Management,Done,Trương Tiến,"March 31, 2026 → April 10, 2026",High,"API, App"
API: Customer Management,Done,Huỳnh Gia Thịnh,"March 31, 2026 → April 10, 2026",High,"API, App"
API: Report Design,Done,Huỳnh Gia Thịnh,"March 31, 2026 → April 10, 2026",High,"API, App"
API: Reuglation,Done,Huỳnh Gia Thịnh,"May 15, 2026 → June 5, 2026",High,"API, App"
API: Shift Management,Done,Trương Tiến,"May 15, 2026 → June 5, 2026",Low,"API, App"
API: Payroll Management,Done,Trương Tiến,"May 15, 2026 → June 5, 2026",Low,"API, App"
API: Absent Employee Management,Done,Trương Tiến,"May 15, 2026 → June 5, 2026",Low,"API, App"
Import Report,Done,Huỳnh Gia Thịnh,"March 9, 2026 → May 30, 2026",High,"API, App"
Inventory Report,Done,Huỳnh Gia Thịnh,"March 9, 2026 → May 30, 2026",High,"API, App"
Monthly Report,Done,Huỳnh Gia Thịnh,"March 9, 2026 → May 30, 2026",High,"API, App"
API: Debt Management,Done,Huỳnh Gia Thịnh,"March 31, 2026 → April 10, 2026",High,"API, App"
API: Customer CRUD,Done,Huỳnh Gia Thịnh,"March 31, 2026 → April 10, 2026",High,"API, App"
API: Shifts Management and Staff Scheduling,Done,Trương Tiến,"March 23, 2026 → May 30, 2026",High,"API, App"
API: Users CRUD,Done,Trương Tiến,"March 23, 2026 → May 30, 2026",High,"API, App"
API Intergration Services,Done,Win Pear,"March 4, 2026 → June 5, 2026",High,App
Set up HttpCLient with Base URL,Done,Win Pear,"March 4, 2026 → May 30, 2026",High,"App, Database"
Attach the JWT token to the request header that require authentication,Done,Win Pear,"March 4, 2026 → May 30, 2026",High,"App, Database"
Handle common HTTP errors and display notifications,Done,Win Pear,"March 4, 2026 → May 30, 2026",High,"App, Database"
Create certain Service Class contains function call API,Done,Win Pear,"March 4, 2026 → May 30, 2026",High,"App, Database"
FEATURE: Authentication (Login/ Sign in),Done,Win Pear,"March 4, 2026 → March 30, 2026",High,Design
Design Layout Login,Done,Win Pear,"March 4, 2026 → May 30, 2026",High,App
"Handle validation logic (Check null, email format, password length)",Done,Win Pear,"March 4, 2026 → May 30, 2026",High,App
"Call API Login, receive and save JWT Token",Done,Win Pear,"March 4, 2026 → May 30, 2026",High,App
Handle Navigation to Main Window after Login Succesfully,Done,Win Pear,"March 4, 2026 → May 30, 2026",High,App
Implement the forgot password feature,Done,Win Pear,"March 4, 2026 → May 30, 2026",Medium,App
Implement the ‘Remember Me’ feature,Done,Win Pear,"March 4, 2026 → May 30, 2026",Medium,App
FEATURE: Main Layout & Navigation,Done,Đơn Thuần,"March 4, 2026 → March 30, 2026",High,Design
Design Main Window layout,Done,Đơn Thuần,"March 4, 2026 → May 30, 2026",High,App
"Make Slide bar and Top Navigation ",Done,Đơn Thuần,"March 4, 2026 → May 30, 2026",High,App
Set up Frame or Content Control for sub-page,Done,Đơn Thuần,"March 4, 2026 → May 30, 2026",High,App
Write Navigation between page,Done,Đơn Thuần,"March 4, 2026 → May 30, 2026",High,App
FEATURE: CURD for books (Inventory),Done,Đơn Thuần,"March 31, 2026 → April 10, 2026",High,Design
Design List book (Not book cover),Done,Đơn Thuần,"March 4, 2026 → May 30, 2026",High,App
